"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"C2",0.0977949761939772,-0.0800978353809098,0.146264359633267,-0.0124081931591226,0.0133266811281809,0.00676752259533076,-0.0113046041791248,0.113743496392504
"C3",0.0392295976910691,-0.0071535673654658,0.248256228652627,-0.0335315406524787,0.0397956655344125,-0.354521144429098,0.222899351265919,-0.289966257790126
"C3.1",0.0570154491067911,0.00697556050559197,0.244036434565153,-0.272419537207492,0.0213883975333571,0.00437718214800479,-0.167346545148666,-0.409390255334518
"C4.1",0.0800498626574039,0.097361322003951,0.0191134444112827,0.148970205133846,0.1683908049185,-0.0250161698954198,-0.234503909683133,-0.238825745226295
"C5.1.DC",-0.0708871399226076,-0.00757555348772244,0.14366969173644,-0.0849523827433968,0.18971506305324,0.243370241104083,0.216737083507334,0.0325651628396463
"C16",-0.074404801991577,0.191041058691116,-0.0290989317684328,-0.0600299082160192,-0.00509213484502148,-0.0230113565181751,-0.0835317355508522,0.0494454609306438
"C16.1",0.0361171511837202,0.110168877457074,-0.250216810871384,-0.115066567372888,0.273075672949036,-0.0143096172652771,-0.128394821724771,0.256193105085456
"C16.1.OH",-0.0502564310135956,0.213204809625236,-0.104969345316169,-0.0609777577769394,-0.00251667930486546,0.0238219968103521,0.19342909288331,0.0667497004397993
"C18",-0.0248562745183427,0.25561308752223,-0.040375626717028,-0.0286790945882329,-0.0520440313539665,-0.0128126587748031,-0.106287194763461,-0.0141309757797698
"C18.1",-0.0446457007501602,0.226058123892475,-0.0282005515718134,-0.105533706720179,-0.0537438437805269,0.000219363446901656,-0.168951347228242,0.0188680544335211
"C18.2",-0.0435449984143755,0.237480991548958,-0.00434195007637195,-0.015556775334587,-0.0500230080040602,-0.0525246641141365,-0.142979534907038,0.103676162847775
"Ala",0.0963824591849729,-0.0829645620531439,-0.143854772318635,-0.040183486475895,-0.0368253143278418,0.0131565770881933,-0.0623051113132307,-0.0503648115087703
"Arg",0.10311671663743,-0.0652846770137442,-0.0651137728750855,-0.0484140616159212,-0.0830922459572589,-0.000200741552551447,0.00665150802177516,0.0311292967424927
"Asn",0.0963520115741539,-0.103257030894979,-0.105204805842094,0.0128058770376335,-0.0648310048930915,-0.04229330108431,-0.0175337911366429,-0.00149475968992937
"Asp",0.079466152268741,-0.173566660339297,-0.0520318962292983,-0.0346874957784153,-0.0842442838736256,-0.0530950773374032,0.0494502516720542,-0.0044596550745485
"Cit",0.0536329788928169,0.101976242074023,-0.20118720176784,-0.204452773946906,-0.199420992008061,0.00496551066938229,0.155714064596102,0.0235896335377687
"Glu",0.100764528651564,-0.0972731330179554,0.00614684383528455,0.00102758586701072,0.0338526862385703,-0.0839943541259806,-0.0192755717887185,0.00624958186511966
"Gly",0.063650464376035,-0.0016880286703582,-0.247711316658535,0.0185086897220144,-0.149509727302651,0.242917754554305,-0.146887442940846,-0.0955356414118417
"His",0.0963233364763765,0.00813082498962962,-0.144485500215898,-0.078712565358733,-0.145266998363432,0.0343795427083264,0.0401492655533784,-0.0313947487569742
"Leu",0.0386916563780928,0.0926078518453477,0.170209082004273,0.0208615808970629,-0.277110020264732,0.287398046053251,0.12735109776591,-0.0061173070317643
"Lys",0.0978213161244218,-0.0935303371214959,0.0214954811540448,-0.109926762359956,-0.0483146856012615,0.0691690097655092,-0.0455045149667952,-0.0849730931253456
