"","Metabolite","estimate","statistic","p.value","parameter","conf.low","conf.high","method","alternative","p.adjusted","fold_change"
"1","Ala",-1.56874892470501,-7.53573097740193,0.00484424154440398,3,-2.23125389393979,-0.906243955470229,"Paired t-test","two.sided",0.0295753694289927,13.1798932056711
"2","Arg",-1.66376775260486,-10.3128763525281,0.00194456722602334,3,-2.17718916445274,-1.15034634075699,"Paired t-test","two.sided",0.0203844724184986,6.94307304785894
"3","Asn",-1.67055995623931,-17.1764715714226,0.000429927092270073,3,-1.98008029855071,-1.36103961392791,"Paired t-test","two.sided",0.0124678856758321,12.3301985370951
"4","Asp",-1.72573098490011,-6.37976367102064,0.00779683478665058,3,-2.58658516069912,-0.864876809101095,"Paired t-test","two.sided",0.0379742073541439,20.3889080658152
"5","C16",1.77517369740302,5.6138744232711,0.0111730432419458,3,0.768846418132446,2.78150097667359,"Paired t-test","two.sided",0.0446921729677832,0.603042876901798
"6","C16.1",0.0547784136122733,0.0756744273125096,0.944442006075053,3,-2.2488975599073,2.35845438713185,"Paired t-test","two.sided",0.944442006075053,0.991150442477876
"7","C16.1.OH",1.5355956437489,3.91092981217349,0.0297039299560122,3,0.286033284525038,2.78515800297276,"Paired t-test","two.sided",0.0749874010154374,0.675078864353312
"8","C18",1.30934133048168,2.0938820802851,0.127304921060076,3,-0.680698375564856,3.29938103652822,"Paired t-test","two.sided",0.173733774623163,0.791811846689895
"9","C18.1",1.48200922667729,2.4654049440409,0.0904323745053829,3,-0.43102935922946,3.39504781258404,"Paired t-test","two.sided",0.131126943032805,0.830856123662307
"10","C18.2",1.49017037597333,2.57077725929576,0.0824374134740303,3,-0.354558563537627,3.33489931548428,"Paired t-test","two.sided",0.121047341303639,0.802171290711701
"11","C2",-1.79036929681623,-6.25509573298163,0.0082449105962178,3,-2.7012672905437,-0.879471303088766,"Paired t-test","two.sided",0.0379742073541439,3.78181818181818
"12","C3",-0.791559029480946,-1.07155324519466,0.362460451455381,3,-3.14243997737819,1.5593219184163,"Paired t-test","two.sided",0.400432498750707,1.15121951219512
"13","C3.1",-0.95875997033694,-1.22910399180783,0.306647201409852,3,-3.44122048270159,1.52370054202771,"Paired t-test","two.sided",0.359303791550937,1.24509803921569
"14","C4.1",-0.788583042456811,-1.14271157420655,0.336092528007765,3,-2.9847830692384,1.40761698432478,"Paired t-test","two.sided",0.378511973290298,1.25356125356125
"15","c4.OH.Pro",-0.820962181348023,-2.67789768705026,0.075183216037967,3,-1.79660366064836,0.154679297952314,"Paired t-test","two.sided",0.111810936671848,2.50909090909091
"16","C5.1.DC",0.858477221150558,1.75142245891048,0.178169584223427,3,-0.701430639298124,2.41838508159924,"Paired t-test","two.sided",0.229640797443529,0.622093023255814
"17","Cit",-0.277294210791658,-0.521977065427231,0.637776173341807,3,-1.96793158752809,1.41334316594477,"Paired t-test","two.sided",0.666504829798646,8.10276532137519
"18","Creatinine",-1.35937099936786,-2.24585827100133,0.110360608068575,3,-3.2856391304905,0.566897131754783,"Paired t-test","two.sided",0.155948301651611,1.13655462184874
"19","Glu",-1.79501353627467,-11.6656189636728,0.00135324488770297,3,-2.28470330020752,-1.30532377234182,"Paired t-test","two.sided",0.0203844724184986,24.9889689660244
"20","Gly",-0.719626996816444,-1.35956764477216,0.267131995631074,3,-2.40411418361228,0.964860189979392,"Paired t-test","two.sided",0.326182226244259,3.12268437609228
"21","His",-1.24983917050562,-3.62123208191469,0.0362159837226586,3,-2.34823495415044,-0.151443386860794,"Paired t-test","two.sided",0.0788741720622042,6.10837438423645
"22","Leu",-0.344668017250452,-0.347201120921205,0.751369726338181,3,-3.50389588822583,2.81455985372493,"Paired t-test","two.sided",0.778204359421687,1.2024407753051
"23","Lys",-1.74783982315261,-6.41756015665322,0.0076673325402766,3,-2.61458766059253,-0.881091985712694,"Paired t-test","two.sided",0.0379742073541439,3.13988095238095
"24","lysoPC.a.C16.0",-1.76513968705471,-5.32484504817217,0.0129414966124714,3,-2.82009287809737,-0.710186496012058,"Paired t-test","two.sided",0.0485222811811957,1.69874476987448
"25","lysoPC.a.C17.0",-1.66170653129995,-7.26104492280009,0.00538996997216639,3,-2.39001655654105,-0.933396506058843,"Paired t-test","two.sided",0.031261825838565,1.4042904290429
"26","lysoPC.a.C18.0",-1.57331515072909,-3.23652080006579,0.047977502591479,3,-3.1203439813125,-0.0262863201456744,"Paired t-test","two.sided",0.0858775320851622,1.46200185356812
"27","lysoPC.a.C18.1",-1.8127509915875,-9.11401971291764,0.00279146361016552,3,-2.44572994898436,-1.17977203419064,"Paired t-test","two.sided",0.024908444521477,2.66990291262136
"28","lysoPC.a.C18.2",-1.84031637608694,-10.6343892796346,0.00177696212394392,3,-2.39104927645639,-1.28958347571748,"Paired t-test","two.sided",0.0203844724184986,3.73791621911923
"29","lysoPC.a.C20.4",-1.74588571881808,-4.98159205813743,0.0155488040395543,3,-2.86122946645076,-0.630541971185403,"Paired t-test","two.sided",0.0520020426830085,2.34048780487805
"30","lysoPC.a.C24.0",-0.576545347608254,-0.661185511287746,0.555737304291011,3,-3.35159800680951,2.198507311593,"Paired t-test","two.sided",0.586050248161429,1.22429906542056
"31","lysoPC.a.C26.0",-0.923228656184489,-1.2032771332079,0.315164244951268,3,-3.36499834059078,1.5185410282218,"Paired t-test","two.sided",0.364679915513591,1.53101736972705
"32","lysoPC.a.C26.1",-0.913639420110365,-1.50119261037253,0.230297792798049,3,-2.85050506733084,1.0232262271101,"Paired t-test","two.sided",0.287253160909395,1.25510204081633
"33","lysoPC.a.C28.0",-0.962462144106555,-1.18172387957829,0.322456521750664,3,-3.55442473995459,1.62950045174148,"Paired t-test","two.sided",0.366715260030167,1.50402144772118
"34","lysoPC.a.C28.1",-0.162856994727378,-0.156760313011692,0.885389358508317,3,-3.4690741819889,3.14336019253414,"Paired t-test","two.sided",0.893088396408389,1.03594351732991
"35","Met",-1.56166678051156,-3.53486853149325,0.0385047733377363,3,-2.967637223668,-0.15569633735512,"Paired t-test","two.sided",0.0788741720622042,1.69484808454425
"36","Orn",-1.79374884897716,-8.26713230521331,0.00370672679120838,3,-2.48425544622061,-1.1032422517337,"Paired t-test","two.sided",0.0286653538520115,2.72727272727273
"37","PC.aa.C24.0",-0.805084931350485,-0.874930831356619,0.446012364301503,3,-3.73347592340551,2.12330606070454,"Paired t-test","two.sided",0.488089002443154,1.44148936170213
"38","PC.aa.C26.0",-1.07314982902818,-1.32861339766528,0.275996574866047,3,-3.64368066546867,1.49738100741231,"Paired t-test","two.sided",0.330057759633623,1.61024702653248
"39","PC.aa.C28.1",-0.638483872028374,-0.808974093471045,0.477735573680595,3,-3.1502338228847,1.87326607882795,"Paired t-test","two.sided",0.517918939691112,1.19018404907975
"40","PC.aa.C30.0",-1.52461276054065,-3.80064631823725,0.031990534312141,3,-2.8012372713479,-0.247988249733405,"Paired t-test","two.sided",0.0749874010154374,2.43393009377664
"41","PC.aa.C32.0",-1.73441503764865,-7.82056529869292,0.00435277649647789,3,-2.44020579798102,-1.02862427731627,"Paired t-test","two.sided",0.0289895170269412,5.90641247833622
"42","PC.aa.C32.1",-1.46508997608775,-3.43665665886205,0.0413366568133125,3,-2.8218068797928,-0.1083730723827,"Paired t-test","two.sided",0.0826733136266251,2.36631274131274
"43","PC.aa.C32.2",-1.61774355246275,-4.44384677316134,0.021192877363244,3,-2.77628529663929,-0.459201808286211,"Paired t-test","two.sided",0.0646094270671293,2.55650522317189
"44","PC.aa.C32.3",-1.00254820836301,-1.25326330463463,0.298894165325045,3,-3.54834670878572,1.54325029205971,"Paired t-test","two.sided",0.353793093650054,1.32512315270936
"45","PC.aa.C34.1",-1.57311231276696,-4.96514459967525,0.0156902714991836,3,-2.58141033250418,-0.564814293029736,"Paired t-test","two.sided",0.0520020426830085,3.344327176781
"46","PC.aa.C34.2",-1.45363116424395,-3.79893063694168,0.0320278606832953,3,-2.67136940955649,-0.23589291893141,"Paired t-test","two.sided",0.0749874010154374,2.42056074766355
"47","PC.aa.C34.3",-1.37992657513376,-3.15463116571534,0.0510823251196224,3,-2.77202029383049,0.0121671435629611,"Paired t-test","two.sided",0.0858775320851622,1.94625176803395
"48","PC.aa.C34.4",-1.56528580632626,-5.02206071757939,0.0152077315356426,3,-2.55719695818049,-0.573374654472033,"Paired t-test","two.sided",0.0520020426830085,2.61129568106312
"49","PC.aa.C36.1",-1.68035518279626,-6.20299925937324,0.00844217457096176,3,-2.54246074164726,-0.818249623945264,"Paired t-test","two.sided",0.0379742073541439,5.28792912513843
"50","PC.aa.C36.2",-1.39057983292258,-3.52618158974412,0.0387450892222189,3,-2.64560472000097,-0.135554945844194,"Paired t-test","two.sided",0.0788741720622042,2.51379310344828
"51","PC.aa.C36.3",-1.44264311573782,-3.52574792193362,0.0387571362719452,3,-2.74481625890594,-0.140469972569689,"Paired t-test","two.sided",0.0788741720622042,2.42311770943796
"52","PC.aa.C36.4",-1.44706701917999,-3.82182617925838,0.031534307762062,3,-2.65204413553354,-0.24208990282644,"Paired t-test","two.sided",0.0749874010154374,2.47316267547481
"53","PC.aa.C36.5",-1.51104002387735,-4.18662236417305,0.0248409694917733,3,-2.65965179795938,-0.362428249795329,"Paired t-test","two.sided",0.070281767342578,2.56598513011152
"54","PC.aa.C36.6",-0.30734420514566,-0.678130293397816,0.546310144094098,3,-1.74970187540294,1.13501346511162,"Paired t-test","two.sided",0.581394281788215,1.57142857142857
"55","PC.aa.C38.0",-1.06216700426517,-2.42988988434194,0.0933392145548212,3,-2.45329566408649,0.32896165555614,"Paired t-test","two.sided",0.133670973930361,1.48309178743961
"56","PC.aa.C38.3",-1.4192838440658,-3.73891027952972,0.0333695538006048,3,-2.62733493061506,-0.211232757516544,"Paired t-test","two.sided",0.0758993772719638,2.76411120471778
"57","PC.aa.C38.4",-1.37698616303982,-3.318834866542,0.0450933131410243,3,-2.69738464720991,-0.0565876788697393,"Paired t-test","two.sided",0.0843681342638519,2.59000900090009
"58","PC.aa.C38.5",-1.59692958222866,-5.29093596026121,0.0131723536766122,3,-2.55746712925861,-0.63639203519871,"Paired t-test","two.sided",0.0485222811811957,3.0977130977131
"59","PC.aa.C38.6",-1.54558913889829,-4.66809402552448,0.0185602410962945,3,-2.59928566207851,-0.491892615718074,"Paired t-test","two.sided",0.0598052213102821,2.81996587030717
"60","PC.aa.C40.3",-1.11504619939154,-1.6928195634779,0.189065675945034,3,-3.21129717263981,0.981204773856726,"Paired t-test","two.sided",0.241006795710153,4.36231884057971
"61","PC.aa.C40.4",-1.61007068670795,-8.05981773146667,0.00398966209169796,3,-2.24581254575206,-0.974328827663838,"Paired t-test","two.sided",0.0289250501648102,3.57251908396947
"62","PC.aa.C40.5",-1.48976139598737,-2.96149154686581,0.0594727026472802,3,-3.09067282031065,0.111150028335912,"Paired t-test","two.sided",0.0957142167613456,3.75449101796407
"63","PC.aa.C40.6",-1.53174637000295,-4.26146863711516,0.0237008758729252,3,-2.67564791919929,-0.387844820806618,"Paired t-test","two.sided",0.0687325400314832,2.25938566552901
"64","PC.aa.C42.4",-0.824464116756989,-2.70149376032162,0.0736927764683966,3,-1.79570929257406,0.146781059060077,"Paired t-test","two.sided",0.111017689225117,2.42857142857143
"65","PC.ae.C30.1",-0.833467211959648,-1.12505938941574,0.342450987288967,3,-3.19108910661674,1.52415468269744,"Paired t-test","two.sided",0.381964562745386,1.35205992509363
"66","PC.ae.C30.2",-0.694571717287685,-0.781596661582596,0.491462686108401,3,-3.52267642152351,2.13353298694814,"Paired t-test","two.sided",0.527867329523838,1.31972789115646
"67","PC.ae.C32.1",-0.784120949789402,-1.19625044593904,0.317523029886834,3,-2.87015805683847,1.30191615725967,"Paired t-test","two.sided",0.364679915513591,1.43674698795181
"68","PC.ae.C32.2",-1.1666819802275,-1.66365985451378,0.194768284950204,3,-3.39844993888949,1.06508597843448,"Paired t-test","two.sided",0.245577402763301,1.52722063037249
"69","PC.ae.C34.0",-1.60761798527546,-4.01298443613203,0.0277717891420154,3,-2.88251899697209,-0.332716973578837,"Paired t-test","two.sided",0.0749874010154374,3.48936170212766
"70","PC.ae.C34.1",-1.39063612245918,-3.17767735686491,0.0501834951770299,3,-2.78335926357777,0.0020870186593985,"Paired t-test","two.sided",0.0858775320851622,2.34090909090909
"71","PC.ae.C34.2",-1.21549649552772,-2.91223770624865,0.0618841918715597,3,-2.54377142410843,0.112778433052995,"Paired t-test","two.sided",0.0957142167613456,1.85672342924251
"72","PC.ae.C34.3",-1.24052834656331,-3.34103079291531,0.044353455600158,3,-2.42217410136799,-0.0588825917586246,"Paired t-test","two.sided",0.0843681342638519,1.76909090909091
"73","PC.ae.C36.0",-1.59277394306239,-3.29029381438219,0.0460678317422693,3,-3.13334078487279,-0.0522071012519903,"Paired t-test","two.sided",0.0848233092397339,2.21103896103896
"74","PC.ae.C36.1",-1.40383241102162,-3.56602320875116,0.0376583883226816,3,-2.65666252685752,-0.151002295185707,"Paired t-test","two.sided",0.0788741720622042,2.31028368794326
"75","PC.ae.C36.2",-1.2574372702465,-3.16837559287403,0.0505438533309684,3,-2.52045880210726,0.00558426161425949,"Paired t-test","two.sided",0.0858775320851622,2.00825825825826
"76","PC.ae.C36.3",-0.756264496272098,-1.34506673647807,0.27124652015382,3,-2.54559664367193,1.03306765112773,"Paired t-test","two.sided",0.327756211852533,1.45588235294118
"77","PC.ae.C36.4",-1.00101668948798,-1.97568841724099,0.142654555786186,3,-2.61345812366771,0.611424744691756,"Paired t-test","two.sided",0.190206074381582,1.58733624454148
"78","PC.ae.C36.5",-1.13686037036118,-2.92440939041609,0.0612770413399147,3,-2.37403225783233,0.100311517109963,"Paired t-test","two.sided",0.0957142167613456,1.90969899665552
